id,Time,user,text,latitude,longitude
145469568,Sat Nov 17 02:34:24 +0000 2018,fee4three,b'Right now ! Pull up bourbonondivision #heartofthecityvol2 @ Bourbon on Division https://t.co/s4Fhh2dSUV',41.90347,-87.67923
260309337,Sat Nov 17 02:34:06 +0000 2018,timdalliday,b'Go Hawks Go! @ United Center https://t.co/9LvSKYQ7JY',41.88059904,-87.67399833
17039396,Sat Nov 17 02:34:06 +0000 2018,JustinAAronson,b'Drinking an Off-Black by @HopewellBrewing @ Chicago Diner ? https://t.co/4IjKrJFhhU',41.9238,-87.6985
249012572,Sat Nov 17 02:34:03 +0000 2018,Sandeezy88,b'Drinking a Willettized Coffee Stout by @lagunitasbeer @ FoBAB - Festival of Wood &amp; Barrel-Aged Beers (2018) ? https://t.co/Lb93jQzjQ2',41.8669,-87.6465
970342743397617664,Sat Nov 17 02:32:20 +0000 2018,BrevonDarksteel,"b'Our beautiful  view of Chicago , getting ready for the #chitag tomorrow.  Glad you guys are in town too? https://t.co/o6Bw6m2GXe'",41.892,-87.6275
1975824030,Sat Nov 17 02:32:14 +0000 2018,Jennandherjugs,"b'""Let me just say: peace to you if you\'re willing to fight for it"" - Fred Hampton\n#justiceforjemelroberson? https://t.co/2VD30O2arS'",41.94502912,-87.69075804
443783189,Sat Nov 17 02:31:52 +0000 2018,TFEBOSS,"b""Tonight's Cook Up ?? #StillWorking #PowerCircle ? @ Montrose Beach https://t.co/L2anoK2Q1y""",41.96638353,-87.63921222
34136263,Sat Nov 17 02:31:05 +0000 2018,brainsc,b'I like your style. #FOBAB - Drinking a Blend  by @18thStreetBrew @ UIC Forum  ? https://t.co/UamjvOWwLU',41.8669,-87.6465
249012572,Sat Nov 17 02:31:02 +0000 2018,Sandeezy88,b'Drinking a Mind FK by @MaplewoodBeer @ FoBAB - Festival of Wood &amp; Barrel-Aged Beers (2018) ? https://t.co/SdxU2jqutF',41.8669,-87.6465
2440034389,Sat Nov 17 02:30:13 +0000 2018,eleria_j,"b'the windy city @ Chicago, Illinois https://t.co/tb5sqWeSOy'",41.883222,-87.632496
4549162582,Sat Nov 17 02:30:07 +0000 2018,everylotchicago,b'3908 West Montrose Avenue https://t.co/xIaKpQBeKl',41.96125,-87.72585
201144866,Sat Nov 17 02:29:41 +0000 2018,BoDiDeederRMG,"b'#linkinbio #trapfever ?? @ South Side, Chicago https://t.co/OxS75LO0zD'",41.8671,-87.6216
2994194153,Sat Nov 17 02:27:23 +0000 2018,jason_pettus,"b'Intermission at #mst3klive here in Chicago tonight. Really great show, literally like an episode of the series come? https://t.co/yISAtqXmPw'",41.93545345,-87.66398415
27296789,Sat Nov 17 02:26:32 +0000 2018,BreezyAllDay,"b'All of this is currently at the Gala except the finger ! @ Chicago, Illinois https://t.co/2Mr14YZklD'",41.883222,-87.632496
29231959,Sat Nov 17 02:26:27 +0000 2018,iamderrickstwtr,b'#PurpleSkyline @ Chicago Riverwalk https://t.co/jDkzZISaDU',41.88840017,-87.61897076
122204506,Sat Nov 17 02:26:05 +0000 2018,PrincezzAmira,"b'Just posted a photo @ Chicago, Illinois https://t.co/o7d3jPohIw'",41.883222,-87.632496
114878796,Sat Nov 17 02:25:29 +0000 2018,PIXSiGHT,"b'Getting ready is aways fun with some #mimosa :) @ Chicago, Illinois https://t.co/M5EQ39xWCZ'",41.883222,-87.632496
31753577,Sat Nov 17 02:25:12 +0000 2018,gfloreso,"b""I'm at @Pequods Pizzeria in Chicago, IL https://t.co/3UQk9kLNyk""",41.92189,-87.66452
456463630,Sat Nov 17 02:24:29 +0000 2018,Pjdaisy13,"b'Back when you were one of my people awnasha #oldasspic #elbalzo #pleasanton #missyou @ Chicago, Illinois https://t.co/CV4safC2Ni'",41.883222,-87.632496
15950511,Sat Nov 17 02:24:02 +0000 2018,pmgarcia,"b""#conceptmapping causes of fetal death #nearpod #TBL #M3s #obgynclerkship #iloveteaching #ipad @ Prentice Women's Ho? https://t.co/WCcQdWhrrh""",41.8959115,-87.6206521
580439637,Sat Nov 17 02:23:28 +0000 2018,leemaris129,b'Wish my phone camera could capture how pretty my new little stained glass lamp is.... living room evolution continu? https://t.co/8nvCo3MCUW',41.883222,-87.632496
100376054,Sat Nov 17 02:23:20 +0000 2018,geraldmbailey,b'Playing a live set with brownbabyjesus on drums this Sunday at @acehotelchicago waydownchicago Transmissions.  4-8? https://t.co/WyU62orTgr',41.88717,-87.65184
33880035,Sat Nov 17 02:22:55 +0000 2018,jamiefranz,b'This class act to my ?? turned 40! Happy Birthday mmohiuddin11 Had a blast celebrating with some professionals. Tha? https://t.co/WLUMka5QCs',41.93047,-87.68823
2797920078,Sat Nov 17 02:21:55 +0000 2018,CiderSoms,b'We?ve arrived at the rightbeecider take over @paddylongs Can?t wait to try the taproom exclusives #drinkyourfruit? https://t.co/T4pLpBiN8B',41.93287,-87.65504
20450591,Sat Nov 17 02:21:42 +0000 2018,emoleechen,"b""I'm at Homeslice in Chicago, IL https://t.co/ZKp4LEWLZ5""",41.92186675,-87.65245276
249012572,Sat Nov 17 02:19:58 +0000 2018,Sandeezy88,b'Drinking a Bourbon County Brand Coffee Barleywine (2018) by @GooseClybourn @ FoBAB - Festival of Wood &amp; Barrel-Aged? https://t.co/vtEpU3smxp',41.8669,-87.6465
925744053223800832,Sat Nov 17 02:19:37 +0000 2018,JobsAtInsight,"b""Want to work at Insight? We're #hiring in #Chicago, IL! Click for details: https://t.co/kqLHSCJ8EV #IT #WindyCity #ChiTown #CHI #Job #Jobs""",41.8781136,-87.6297982
28103557,Sat Nov 17 02:18:42 +0000 2018,philliprabie,"b'Wine, Dine, and everythings Fine...\n#friends #chitown #illinois #gochicago #windycity #chicago #chicagoland @ NEXT? https://t.co/bxq2fyPFZy'",41.89815,-87.63732857
